Date,Open,High,Low,Close,Adj Close,Volume
2021-10-10,3089.840332,3114.234131,2952.915283,2962.098633,2962.098633,13982593515
2021-10-11,2956.802002,3129.672607,2926.202148,3068.681152,3068.681152,16081217547
2021-10-12,3069.653809,3069.653809,2953.596436,3028.951660,3028.951660,15705622452
2021-10-13,3029.107910,3110.829346,2955.422607,3109.652832,3109.652832,13979096419
2021-10-14,3108.581299,3294.507568,3095.919434,3266.493408,3266.493408,16775443408
2021-10-15,3270.065674,3358.129639,3220.630371,3329.942627,3329.942627,18075325366
2021-10-16,3332.556396,3415.995117,3281.020020,3302.137939,3302.137939,14291827039
2021-10-17,3301.686768,3374.998291,3157.718018,3317.462158,3317.462158,13717975824
2021-10-18,3318.001465,3354.470947,3177.625000,3227.937500,3227.937500,14970704042
2021-10-19,3226.562012,3339.417480,3217.341553,3333.178467,3333.178467,13752323648
2021-10-20,3333.247070,3575.232910,3291.678955,3566.610107,3566.610107,17454041139
2021-10-21,3571.520264,3751.111816,3464.811035,3487.694580,3487.694580,24276570344
2021-10-22,3488.867676,3580.283691,3362.130127,3409.624023,3409.624023,16689162590
2021-10-23,3410.632813,3583.287842,3387.681396,3583.287842,3583.287842,12696734921
2021-10-24,3583.453369,3595.369873,3407.593750,3512.072754,3512.072754,12868240821
2021-10-25,3509.085205,3650.261475,3496.900391,3633.342529,3633.342529,13778959208
2021-10-26,3632.878174,3697.831543,3542.065918,3562.369141,3562.369141,14795594841
2021-10-27,3563.292969,3705.048828,3388.561768,3388.561768,3388.561768,22605771187
2021-10-28,3383.869873,3675.207764,3369.065918,3669.927490,3669.927490,22220076483
2021-10-29,3671.098633,3859.210449,3655.846680,3818.623535,3818.623535,19866321226
2021-10-30,3818.188232,3829.091309,3678.279785,3741.557861,3741.557861,12641960926
2021-10-31,3739.044189,3801.067383,3616.929932,3710.560791,3710.560791,15141525515
2021-11-01,3710.684570,3782.487793,3602.739746,3728.265137,3728.265137,15505134995
2021-11-02,3726.432373,3972.515381,3697.701416,3959.537598,3959.537598,17958563757
2021-11-03,3963.757080,4018.012939,3858.028564,3966.604736,3966.604736,18269948737
2021-11-04,3964.439453,3966.698730,3833.123291,3926.591064,3926.591064,15936515729
2021-11-05,3926.677002,3956.800537,3844.296875,3883.687012,3883.687012,13059772272
2021-11-06,3880.574463,3922.429688,3752.734619,3914.278564,3914.278564,12491078550
2021-11-07,3916.357178,4016.295654,3905.104980,3994.159912,3994.159912,11705612308
2021-11-08,3993.377441,4162.051270,3993.377441,4152.465820,4152.465820,16646577370
2021-11-09,4150.726074,4170.480957,4070.346924,4084.034668,4084.034668,17969640564
2021-11-10,4082.563477,4215.735352,3907.301270,4036.508301,4036.508301,19805799719
2021-11-11,4035.881104,4167.829590,3989.359863,4132.170410,4132.170410,15665332648
2021-11-12,4126.861328,4203.559082,3940.077148,4078.274902,4078.274902,16005159523
2021-11-13,4077.928467,4108.858398,4004.056152,4064.594971,4064.594971,12633370443
2021-11-14,4062.124023,4098.134766,3944.459229,4043.553467,4043.553467,10639473303
2021-11-15,4044.193115,4163.439453,3999.925049,4009.418457,4009.418457,14318517421
2021-11-16,4020.832275,4300.855469,3648.262207,3724.737061,3724.737061,24220621975
2021-11-17,3722.568848,3799.359863,3630.666504,3788.363770,3788.363770,19600508286
2021-11-18,3788.547852,3832.242188,3481.444092,3518.988525,3518.988525,18808793019
2021-11-19,3514.659668,3819.691406,3503.158936,3808.157715,3808.157715,18274194297
2021-11-20,3808.196777,3928.721680,3729.250244,3907.053223,3907.053223,13686649699
2021-11-21,3909.059326,3918.181641,3774.091064,3786.753662,3786.753662,12500466368
2021-11-22,3783.894531,3815.158936,3590.311035,3636.850830,3636.850830,17570408532
2021-11-23,3637.938477,3898.234375,3620.305664,3859.659424,3859.659424,19680353046
2021-11-24,3859.012451,3892.460693,3726.671631,3784.599121,3784.599121,19492588264
2021-11-25,3812.638428,4059.794678,3792.285889,3813.626709,3813.626709,16687611316
2021-11-26,4034.398438,4059.469727,3487.478271,3560.872803,3560.872803,23217127880
2021-11-27,3571.552979,3699.366455,3563.173828,3619.179443,3619.179443,14589831843
2021-11-28,3623.363770,3806.333740,3524.707520,3802.931885,3802.931885,14127211265
2021-11-29,3805.139893,3952.334229,3796.319580,3936.273926,3936.273926,16901646948
2021-11-30,3938.631836,4180.578613,3848.972656,4087.775635,4087.775635,25265820523
2021-12-01,4080.891846,4222.056152,4001.263672,4052.449707,4052.449707,24414429801
2021-12-02,4051.869141,4082.855713,3929.908203,3990.188477,3990.188477,19018832988
2021-12-03,3992.889160,4110.220703,3625.840820,3730.352783,3730.352783,22872952343
2021-12-04,3736.589111,3749.814209,3115.909180,3641.142578,3641.142578,34010086696
2021-12-05,3641.179199,3753.689941,3570.990723,3713.937256,3713.937256,22587160064
2021-12-06,3714.536377,3877.118164,3477.093262,3862.822266,3862.822266,25017705044
2021-12-07,3862.688965,3931.533203,3784.207764,3827.800537,3827.800537,19840598176
2021-12-08,3824.795654,3932.427734,3756.161865,3913.293701,3913.293701,16487853778
2021-12-09,3907.711670,3951.635010,3611.739014,3647.899170,3647.899170,19742154560
2021-12-10,3642.385254,3743.111572,3443.712646,3453.191650,3453.191650,24751147371
2021-12-11,3454.226563,3619.021484,3398.023682,3609.128174,3609.128174,16905092988
2021-12-12,3609.445557,3688.093018,3528.368164,3655.332275,3655.332275,12428538484
2021-12-13,3657.017578,3664.568359,3259.514404,3353.786133,3353.786133,21269955427
2021-12-14,3352.541992,3434.108154,3280.142822,3327.033447,3327.033447,21173931666
2021-12-15,3430.795410,3618.802002,3255.235107,3559.070801,3559.070801,23392284305
2021-12-16,3560.865479,3635.596436,3490.979004,3496.110840,3496.110840,17492185178
2021-12-17,3493.060547,3525.456055,3283.452881,3451.455078,3451.455078,20590067922
2021-12-18,3452.171143,3553.230713,3358.154297,3523.897949,3523.897949,17376247454
2021-12-19,3523.908936,3575.320068,3464.768555,3488.903076,3488.903076,14380242886
2021-12-20,3489.884033,3539.406250,3329.327393,3488.238281,3488.238281,19144118463
2021-12-21,3492.334473,3596.777344,3472.204102,3561.701172,3561.701172,14519243815
2021-12-22,3560.315430,3612.931641,3493.366211,3515.755859,3515.755859,12291379331
2021-12-23,3515.634033,3660.267090,3440.478516,3627.940430,3627.940430,15902889711
2021-12-24,3630.880859,3652.197754,3558.457764,3575.166260,3575.166260,11277622531
2021-12-25,3576.755371,3655.168213,3557.453125,3615.173340,3615.173340,9622241892
2021-12-26,3615.942383,3625.544922,3544.292725,3591.950928,3591.950928,9888543865
2021-12-27,3589.671143,3643.069580,3560.480713,3563.713135,3563.713135,10083631385
2021-12-28,3563.704590,3563.704590,3335.726074,3359.696777,3359.696777,15291401898
2021-12-29,3356.641357,3384.866211,3182.298828,3194.185547,3194.185547,13840518591
2021-12-30,3197.432129,3328.605225,3167.706299,3280.010986,3280.010986,11415474117
2021-12-31,3279.638428,3359.883057,3195.095703,3237.778320,3237.778320,12447113522
2022-01-01,3238.142334,3314.519287,3237.473877,3314.324951,3314.324951,8595247090
2022-01-02,3313.974609,3372.761230,3277.100098,3367.267578,3367.267578,8688600065
2022-01-03,3367.241943,3386.769043,3273.615479,3328.035400,3328.035400,10688963553
2022-01-04,3328.018799,3433.730469,3293.105713,3362.577637,3362.577637,12435258926
2022-01-05,3362.765869,3396.484619,3056.257324,3138.971680,3138.971680,15968408657
2022-01-06,3138.372314,3138.372314,2950.220703,3025.773193,3025.773193,21503430737
2022-01-07,3025.268555,3027.591064,2748.938232,2810.405273,2810.405273,21557792511
2022-01-08,2810.662354,2852.128906,2658.991455,2721.566650,2721.566650,14116476474
2022-01-09,2721.323486,2824.496338,2707.429443,2781.274902,2781.274902,10864105849
2022-01-10,2781.115479,2803.176025,2609.351318,2721.197754,2721.197754,17242599425
2022-01-11,2721.103271,2859.771973,2700.917969,2848.936035,2848.936035,13383244201
2022-01-12,2849.233643,2971.523438,2831.699219,2947.684326,2947.684326,14564982818
2022-01-13,2947.550293,2959.348389,2835.197998,2835.210205,2835.210205,13349499587
2022-01-14,2835.524658,2917.564697,2797.274658,2899.617432,2899.617432,11881381104
2022-01-15,2899.479736,2947.392334,2872.171387,2917.601563,2917.601563,8427282732
2022-01-16,2917.475830,2957.784912,2883.465820,2937.954346,2937.954346,8334423460
2022-01-17,2937.976563,2942.214600,2767.190186,2815.292969,2815.292969,10818664047
2022-01-18,2815.277832,2834.245361,2734.960693,2792.796387,2792.796387,11496056140
2022-01-19,2792.642090,2800.646484,2695.681152,2729.211914,2729.211914,11625743002
2022-01-20,2728.723389,2877.120850,2652.523682,2652.710938,2652.710938,9410005652
2022-01-21,2654.334717,2679.500732,2200.853271,2254.727295,2254.727295,23619993417
2022-01-22,2257.560059,2305.249023,2054.031494,2120.083008,2120.083008,24125425590
2022-01-23,2121.619629,2240.315918,2099.286621,2235.252930,2235.252930,14532438006
2022-01-24,2236.004150,2237.165771,1922.960083,2155.067871,2155.067871,24921707922
2022-01-25,2155.104248,2211.998291,2086.111572,2172.775391,2172.775391,14314313370
2022-01-26,2172.460693,2398.147217,2151.213379,2195.562256,2195.562256,18886148578
2022-01-27,2194.813232,2251.973145,2089.478516,2174.168701,2174.168701,14470393399
2022-01-28,2172.953369,2286.022461,2127.439453,2284.509766,2284.509766,13154271307
2022-01-29,2284.060059,2356.726563,2266.479736,2329.348633,2329.348633,10020323549
2022-01-30,2330.676270,2361.065430,2288.722412,2334.466064,2334.466064,8519517000
2022-01-31,2334.283691,2401.788330,2230.124023,2393.995605,2393.995605,12269945049
2022-02-01,2393.657227,2492.850098,2388.893555,2476.786621,2476.786621,11704673081
