Date,Open,High,Low,Close,Adj Close,Volume
2021-10-10,47494.953125,48723.902344,46899.835938,47357.207031,47357.207031,34176954639
2021-10-11,47324.820313,50008.027344,47119.632813,49755.960938,49755.960938,36904742451
2021-10-12,49792.347656,49838.777344,47242.480469,48601.886719,48601.886719,35630095368
2021-10-13,48599.457031,49756.468750,47064.277344,49497.367188,49497.367188,35944622965
2021-10-14,49472.996094,50443.347656,49136.925781,49455.808594,49455.808594,31591335859
2021-10-15,49476.839844,54100.472656,49035.863281,53099.589844,53099.589844,44639142500
2021-10-16,53113.019531,53686.265625,51903.152344,52494.601563,52494.601563,29527448010
2021-10-17,52490.699219,53143.308594,51034.914063,53079.347656,53079.347656,25035394378
2021-10-18,53075.195313,54052.417969,51725.234375,53408.671875,53408.671875,32768426725
2021-10-19,53423.382813,55387.925781,52881.781250,55238.773438,55238.773438,34788514253
2021-10-20,55258.195313,57457.261719,54619.558594,56634.062500,56634.062500,35004469846
2021-10-21,56642.125000,57214.132813,53432.027344,53515.742188,53515.742188,39492048235
2021-10-22,53539.585938,54746.941406,51720.335938,52123.003906,52123.003906,33007497760
2021-10-23,52125.031250,53026.136719,51379.496094,52734.601563,52734.601563,23091004859
2021-10-24,52712.890625,52830.964844,51231.187500,52347.996094,52347.996094,23468371588
2021-10-25,52316.289063,54906.253906,52119.687500,54303.453125,54303.453125,26759780838
2021-10-26,54297.367188,54507.089844,51741.355469,52053.449219,52053.449219,30077143516
2021-10-27,52043.277344,52939.003906,50162.480469,50421.937500,50421.937500,37639952956
2021-10-28,50411.882813,53186.023438,49810.277344,51892.304688,51892.304688,38739882231
2021-10-29,51894.648438,54531.996094,51632.074219,53825.324219,53825.324219,31880097022
2021-10-30,53835.179688,53913.707031,52692.574219,53531.980469,53531.980469,27815652165
2021-10-31,53498.816406,53979.464844,51994.210938,53060.582031,53060.582031,27898987362
2021-11-01,53061.871094,53961.042969,51686.597656,52591.960938,52591.960938,31165444999
2021-11-02,52556.480469,55465.687500,52312.246094,54603.773438,54603.773438,32598888626
2021-11-03,54627.898438,54845.921875,52820.171875,54214.628906,54214.628906,31101912716
2021-11-04,54190.312500,54351.234375,52647.949219,53180.636719,53180.636719,28225688676
2021-11-05,53187.429688,54139.523438,52592.558594,52915.761719,52915.761719,26494469926
2021-11-06,52866.589844,53318.316406,52083.062500,53263.601563,53263.601563,25187135416
2021-11-07,53287.355469,54741.937500,53181.367188,54741.937500,54741.937500,21374622401
2021-11-08,54756.703125,58408.390625,54756.703125,58305.039063,58305.039063,35488274443
2021-11-09,58290.289063,59153.058594,57269.132813,57763.738281,57763.738281,36534106723
2021-11-10,57747.789063,59496.148438,55065.328125,56588.421875,56588.421875,42427739382
2021-11-11,56574.195313,57220.968750,55921.488281,56736.261719,56736.261719,31343096595
2021-11-12,56661.152344,57222.570313,54445.742188,56061.515625,56061.515625,31532134995
2021-11-13,56063.421875,56725.394531,55316.828125,56335.539063,56335.539063,26629356281
2021-11-14,56323.167969,57244.425781,55581.085938,57219.656250,57219.656250,21957336627
2021-11-15,57267.246094,57891.781250,55891.988281,55914.402344,55914.402344,26883766644
2021-11-16,56058.085938,56058.085938,51952.140625,53146.445313,53146.445313,41382286062
2021-11-17,53127.339844,53709.925781,51727.152344,53339.003906,53339.003906,34616617571
2021-11-18,53332.042969,53811.976563,49726.468750,50086.531250,50086.531250,36405348273
2021-11-19,50046.062500,51562.835938,49053.816406,51492.027344,51492.027344,34289056107
2021-11-20,51488.042969,53033.878906,50916.281250,52889.746094,52889.746094,27132088068
2021-11-21,52919.257813,53161.941406,51934.437500,52087.062500,52087.062500,23168441582
2021-11-22,52066.105469,52559.125000,49562.796875,50071.628906,50071.628906,31166066807
2021-11-23,50085.210938,51445.257813,49416.910156,51188.464844,51188.464844,33331102310
2021-11-24,51185.597656,51405.656250,49940.398438,50235.796875,50235.796875,32700833644
2021-11-25,51025.738281,52950.410156,51002.730469,51096.460938,51096.460938,30585799415
